Driver / Operator Type,Incident Time (24:00),Lighting,Roadway Type,Posted Speed Limit (MPH),State,Weather - Clear,Weather - Rain,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Severe Wind,Roadway Surface,Roadway Description,SV Pre-Crash Movement,CP Pre-Crash Movement,SV Precrash Speed (MPH),Crash With,SV Contact Area - Front,SV Contact Area - Rear,SV Contact Area - Left,SV Contact Area - Right,SV Contact Area - Front Left,SV Contact Area - Front Right,SV Contact Area - Rear Left,SV Contact Area - Rear Right,SV Were All Passengers Belted?,CP Any Air Bags Deployed?,SV Any Air Bags Deployed?,Automation System Engaged?,ADS Equipped?,Make,Model Year,Mileage,CP Was Vehicle Towed?,SV Was Vehicle Towed?,Highest Injury Severity
In-Vehicle (Commercial / Test),13:00,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,1.0,Passenger Car, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,21701.0,No,No,No Injuries Reported
Consumer,04:55,Dark - Not Lighted,Highway / Freeway,65.0,NY , , , , , , ,Dry,No Unusual Conditions,Proceeding Straight,"Other, see Narrative",65.0,Animal,Y, , , ,Y, , , ,Yes,Unknown,No,ADAS,No,Subaru,2020.0,34611.0,Unknown,Yes,Minor
In-Vehicle (Commercial / Test),17:14,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Making Left Turn,Traveling Wrong Way,8.0,Passenger Car, , , , ,Y, , , ,Yes,Unknown,No,ADS,Yes,Jaguar,2021.0,2684.0,Unknown,No,No Injuries Reported
Consumer,Unknown,Unknown,Highway / Freeway,25.0,AZ , , , , , , ,Unknown,Unknown,Proceeding Straight,"Other, see Narrative",3.5,Van,Y, , , ,Y,Y, , ,Yes,Unknown,Yes,"Unknown, see Narrative",No,BMW,2022.0,18698.0,Unknown,Yes,Moderate
Consumer,Unknown,Unknown,Unknown,25.0,LA , , , , , , ,Unknown,Unknown,Making U-Turn,Unknown,3.5,Unknown, , ,Y, , , , , ,Unknown,Unknown,No,"Unknown, see Narrative",No,Acura,2016.0,18698.0,Unknown,Yes,No Injuries Reported
Unknown,12:03,Daylight,Street,25.0,AZ ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Backing,0.0,Heavy Truck, , , , ,Y, , , ,No Passengers in Vehicle,No,No,ADS,Yes,Jaguar,2021.0,38196.0,No,No,No Injuries Reported
Consumer,16:43,Daylight,Street,25.0,FL ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Stopped,3.5,"Other, see Narrative", , , , , , , , ,No Passengers in Vehicle,No,No,ADS,Yes,NAVYA,2016.0,18698.0,Not Applicable,No,No Injuries Reported
In-Vehicle (Commercial / Test),20:40,Dark - Lighted,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,SUV, ,Y, , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,12241.0,No,Yes,No Injuries Reported
Consumer,09:41,Daylight,Highway / Freeway,65.0,FL , , , ,Y, , ,Dry,Unknown,Lane / Road Departure,Unknown,70.0,Other Fixed Object, , , , , , , , ,"No, see Narrative",Unknown,No,ADAS,No,Cadillac,2019.0,86110.0,Unknown,Yes,Minor
In-Vehicle (Commercial / Test),15:05,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,"Other, see Narrative",Stopped,Passing,0.0,Pickup Truck, , , , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,9960.0,No,No,No Injuries Reported
Consumer,Unknown,Unknown,Unknown,25.0,FL , , , , , , ,Unknown,Unknown,Unknown,Unknown,3.5,Unknown, , ,Y, , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Acura,2021.0,18698.0,Unknown,Yes,Moderate
Remote (Commercial / Test),3:35,Dark - Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,"Other, see Narrative",Proceeding Straight,2.0,Passenger Car, ,Y, , , , ,Y, ,No Passengers in Vehicle,No,No,ADS,Yes,Cruise,2020.0,36078.0,No,No,No Injuries Reported
Consumer,Unknown,Unknown,Highway / Freeway,25.0,FL , , , , , , ,Unknown,Unknown,Unknown,Unknown,40.0,Unknown, ,Y, , , , , , ,Unknown,Unknown,No,"Unknown, see Narrative",No,Honda,2018.0,18698.0,Unknown,Yes,No Injuries Reported
Remote (Commercial / Test),1:55,Dark - Lighted,Intersection,25.0,CA ,Y, , , , , ,Dry,Work Zone,"Other, see Narrative",Making Right Turn,0.0,Passenger Car, , , , , , , ,Y,No Passengers in Vehicle,No,No,ADS,Yes,Cruise,2020.0,42620.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),15:51,Daylight,Intersection,30.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,SUV, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,10779.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),16:23,Daylight,Intersection,25.0,MN ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Passing,0.0,SUV, , , , , , ,Y, ,Yes,No,No,ADS,Yes,Ligier,2019.0,5357.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),13:27,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Toyota,2016.0,76168.0,No,No,No Injuries Reported
Consumer,21:40,Dark - Not Lighted,Highway / Freeway,70.0,WV ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,"Other, see Narrative",70.0,Animal,Y, , , ,Y,Y, , ,Yes,Unknown,No,ADAS,No,Subaru,2020.0,35307.0,Unknown,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),16:15,Daylight,Street,25.0,IN ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,18.0,SUV, , , , ,Y,Y, , ,Yes,No,No,ADS,Yes,Lexus,2020.0,3854.0,No,No,No Injuries Reported
Consumer,16:26,Unknown,Highway / Freeway,25.0,TX , , , , , , ,Wet,Unknown,"Other, see Narrative",Unknown,75.0,Other Fixed Object, , ,Y, , , ,Y, ,Yes,Unknown,Yes,ADAS,No,Mercedes-Benz,2019.0,19702.0,Unknown,Unknown,No Injuries Reported
Remote (Commercial / Test),0:27,Dark - Lighted,Street,25.0,CA , ,Y, , , , ,Wet,No Unusual Conditions,Stopped,Proceeding Straight,0.0,"Other, see Narrative", , , , , , , , ,No Passengers in Vehicle,No,No,ADS,Yes,Cruise,2020.0,36885.0,No,No,No Injuries Reported
Consumer,12:24,Daylight,Highway / Freeway,65.0,MA , ,Y, ,Y, , ,Wet,No Unusual Conditions,Proceeding Straight,"Other, see Narrative",3.5,Passenger Car, , , , , ,Y, , ,Unknown,Unknown,Yes,ADAS,No,GMC,2023.0,4504.0,Unknown,Unknown,No Injuries Reported
In-Vehicle (Commercial / Test),12:35,Daylight,Intersection,30.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,20087.0,No,No,No Injuries Reported
Consumer,03:01,"Other, see Narrative",Highway / Freeway,25.0,FL , , , , , , ,Unknown,Unknown,Changing Lanes,"Other, see Narrative",57.0,"Other, see Narrative", , , ,Y, ,Y, ,Y,Yes,Not Applicable,Yes,ADAS,No,BMW,2019.0,30673.0,Not Applicable,Yes,Minor
In-Vehicle (Commercial / Test),18:14,Dark - Lighted,Intersection,35.0,AZ ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,SUV, ,Y, , , , ,Y,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,18510.0,No,No,No Injuries Reported
Unknown,8:48,Daylight,Street,25.0,AZ ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Heavy Truck, , , , , , ,Y, ,No Passengers in Vehicle,No,No,ADS,Yes,Jaguar,2021.0,33978.0,No,No,No Injuries Reported
In-Vehicle and Remote (Commercial / Test),12:58,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,22.0,Pickup Truck, , ,Y, , , ,Y, ,Yes,No,No,ADS,Yes,Chevrolet,2020.0,24248.0,No,No,No Injuries Reported
Remote (Commercial / Test),2:07,Dark - Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Backing,0.0,Pickup Truck,Y, , , , , , , ,No Passengers in Vehicle,No,No,ADS,Yes,Cruise,2020.0,39342.0,No,Yes,No Injuries Reported
Remote (Commercial / Test),2:05,Dark - Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Backing,0.0,Heavy Truck, , , ,Y, , , , ,No Passengers in Vehicle,No,No,ADS,Yes,Cruise,2022.0,4632.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),6:38,Dawn / Dusk,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Changing Lanes,0.0,SUV, , , , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,24086.0,No,No,No Injuries Reported
Consumer,18:00,Dawn / Dusk,Highway / Freeway,65.0,NJ ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Unknown,65.0,Other Fixed Object, , , ,Y, ,Y, ,Y,Yes,Unknown,No,ADAS,No,Kia,2022.0,4091.0,Unknown,Yes,Minor
In-Vehicle (Commercial / Test),10:30,Daylight,Intersection,30.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Backing,0.0,Passenger Car, , , , , , , ,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,17989.0,No,No,No Injuries Reported
Remote (Commercial / Test),1:39,Dark - Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Passing,12.0,Passenger Car, , ,Y, , , , , ,No Passengers in Vehicle,No,No,ADS,Yes,Cruise,2020.0,46105.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),8:04,Daylight,Street,30.0,CA , , , ,Y, , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,2.0,Van, , , , , , , , ,Yes,Unknown,No,ADS,Yes,Jaguar,2021.0,2500.0,Unknown,No,No Injuries Reported
In-Vehicle (Commercial / Test),16:31,Dawn / Dusk,Intersection,30.0,NV ,Y, , , , , ,Dry,No Unusual Conditions,Making Right Turn,Making Right Turn,0.0,SUV, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Nissan,2023.0,868.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),8:44,Daylight,Street,35.0,NV ,Y, , , , , ,Dry,No Unusual Conditions,Making Right Turn,Proceeding Straight,3.0,Passenger Car, , , , , , ,Y, ,Yes,No,No,ADS,Yes,Toyota,2016.0,77332.0,No,No,No Injuries Reported
Consumer,Unknown,Unknown,Intersection,25.0,CA , , , , , , ,Unknown,Unknown,Making Left Turn,Making Left Turn,3.5,Unknown, , ,Y, ,Y, , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Honda,2020.0,18698.0,Unknown,No,Moderate
In-Vehicle (Commercial / Test),15:10,Daylight,Intersection,25.0,CA , , , ,Y, , ,Dry,No Unusual Conditions,Making Left Turn,Proceeding Straight,3.5,Van, , , , , , , ,Y,Yes,No,No,ADS,Yes,Chrysler,2017.0,34996.0,No,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),10:47,Daylight,Intersection,30.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,SUV, ,Y, , , , , , ,Yes,No,No,"Unknown, see Narrative",Yes,Jaguar,2021.0,6509.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),14:18,Daylight,Street,15.0,NV ,Y, , , , , ,Dry,No Unusual Conditions,Changing Lanes,Proceeding Straight,10.0,Passenger Car, ,Y, , , , , , ,Yes,No,No,ADAS,Yes,Hyundai,2021.0,6330.0,No,No,No Injuries Reported
Consumer,06:06,Dawn / Dusk,Highway / Freeway,65.0,NY ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Merging,72.0,Heavy Truck,Y, , , , ,Y, , ,Yes,Unknown,Yes,ADAS,No,Subaru,2021.0,6358.0,No,Yes,Minor
In-Vehicle (Commercial / Test),18:33,Dawn / Dusk,Highway / Freeway,65.0,TX , , , ,Y, , ,Dry,No Unusual Conditions,Proceeding Straight,Changing Lanes,61.0,Heavy Truck, , , , ,Y, , , ,Yes,No,No,ADS,Yes,Peterbilt,2021.0,194446.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),9:00,Daylight,Intersection,35.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Heavy Truck, , , , , , , ,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,19509.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),10:46,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Changing Lanes,0.0,Passenger Car, , , , , , , ,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,45624.0,No,No,No Injuries Reported
Consumer,03:00,Unknown,Highway / Freeway,25.0,IA , , , , , , ,Dry,No Unusual Conditions,"Other, see Narrative","Other, see Narrative",3.5,"Other, see Narrative", , , , , , , , ,Unknown,Not Applicable,Not Applicable,ADAS,No,Freightliner,2022.0,43339.0,Not Applicable,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),13:50,Daylight,Street,30.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , ,Y,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,45898.0,No,Yes,No Injuries Reported
In-Vehicle and Remote (Commercial / Test),23:21,Dark - Lighted,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Traveling Wrong Way,0.0,Passenger Car,Y, , , ,Y,Y, , ,Yes,Unknown,No,ADS,Yes,Cruise,2020.0,440273.0,Unknown,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),13:30,Daylight,Intersection,25.0,PA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Backing,0.0,SUV,Y, , , , , , , ,Yes,No,No,ADS,Yes,Ford,2020.0,1949.0,No,No,No Injuries Reported
Consumer,Unknown,Unknown,Unknown,25.0,OH , , , , , , ,Unknown,"Other, see Narrative","Other, see Narrative",Stopped,3.5,Passenger Car, , , , , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Acura,2016.0,18698.0,Unknown,Yes,No Injuries Reported
Consumer,23:35,Unknown,Highway / Freeway,25.0,CA , , , , , , ,Unknown,Unknown,Proceeding Straight,Unknown,3.5,Unknown, , , , , , , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2022.0,4490.0,Unknown,Yes,Serious
In-Vehicle (Commercial / Test),10:25,Daylight,Intersection,30.0,AZ , , , ,Y, , ,Dry,No Unusual Conditions,Lane / Road Departure,Unknown,18.0,Other Fixed Object,Y, , ,Y,Y,Y, , ,Yes,Unknown,No,ADS,Yes,Chrysler,2017.0,52590.0,Unknown,Yes,No Injuries Reported
Consumer,Unknown,Unknown,Unknown,25.0,NY , , , , , , ,Unknown,Unknown,Stopped,Proceeding Straight,0.0,Pickup Truck, , , , , , , , ,Unknown,Unknown,No,"Unknown, see Narrative",No,Acura,2020.0,18698.0,Unknown,Yes,No Injuries Reported
Consumer,Unknown,Unknown,Intersection,25.0,CA , , , , , , ,Unknown,Unknown,Stopped,Proceeding Straight,0.0,Unknown,Y,Y, , , , , , ,Unknown,Unknown,No,"Unknown, see Narrative",No,Honda,2020.0,18698.0,Unknown,Yes,Moderate
Consumer,08:00,Daylight,Unknown,25.0,WV ,Y, , , , , ,Dry,Unknown,Unknown,Unknown,40.0,Pole / Tree, , , , ,Y, , , ,Yes,Unknown,No,ADAS,No,Subaru,2020.0,20606.0,Unknown,Yes,Minor
Consumer,20:30,Dawn / Dusk,Highway / Freeway,55.0,VA ,Y, , , , , ,Dry,No Unusual Conditions,"Other, see Narrative",Unknown,51.0,Pole / Tree,Y, , , ,Y,Y, , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Tesla,2016.0,44236.0,Unknown,Unknown,Serious
In-Vehicle (Commercial / Test),10:55,Daylight,Highway / Freeway,65.0,TX ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,"Other, see Narrative",64.0,"Other, see Narrative", , , , , ,Y, , ,Yes,Not Applicable,No,ADAS,Yes,Peterbilt,2022.0,3987.0,Not Applicable,No,No Injuries Reported
In-Vehicle (Commercial / Test),4:03,Dark - Not Lighted,Highway / Freeway,75.0,TX ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,"Other, see Narrative",35.0,"Other, see Narrative", , , , , , , ,Y,Yes,Not Applicable,No,ADS,Yes,Peterbilt,2022.0,139488.0,Not Applicable,No,No Injuries Reported
In-Vehicle (Commercial / Test),12:33,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Changing Lanes,Proceeding Straight,7.0,Passenger Car, , , , , ,Y, , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,13485.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),17:20,Dark - Lighted,Highway / Freeway,65.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Changing Lanes,Stopped,19.0,Pickup Truck,Y, , , ,Y,Y, , ,Unknown,No,No,"Unknown, see Narrative",Yes,Mercedes-Benz,2021.0,4722.0,Unknown,No,No Injuries Reported
In-Vehicle and Remote (Commercial / Test),1:56,Dark - Not Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Backing,Parked,2.0,Passenger Car, , , , , , , ,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,2055.0,No,No,No Injuries Reported
Remote (Commercial / Test),1:55,Dark - Lighted,Intersection,25.0,CA ,Y, , , , , ,Dry,Work Zone,"Other, see Narrative",Making Right Turn,0.0,Passenger Car, , , , , , , ,Y,No Passengers in Vehicle,No,No,ADS,Yes,Cruise,2020.0,42620.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),22:15,Dark - Lighted,Traffic Circle,25.0,NV , , , ,Y, , ,Wet,No Unusual Conditions,Proceeding Straight,Stopped,1.0,SUV, , , , , ,Y, , ,Yes,No,No,ADAS,Yes,Toyota,2016.0,79832.0,No,No,No Injuries Reported
Consumer,Unknown,"Other, see Narrative",Highway / Freeway,25.0,TX , , , , , , ,"Other, see Narrative","Other, see Narrative","Other, see Narrative",Unknown,3.5,Other Fixed Object, , , , , , , , ,Yes,Unknown,Unknown,ADAS,No,BMW,2021.0,18698.0,Unknown,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),11:07,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,4.0,SUV, ,Y, , , , ,Y,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,25713.0,No,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),18:08,Dark - Lighted,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,13034.0,No,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),15:45,Daylight,Highway / Freeway,25.0,OH ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Changing Lanes,3.5,SUV, , , , , , , , ,Unknown,Unknown,No,ADAS,Yes,Hyundai,2023.0,18698.0,Unknown,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),13:17,Daylight,Street,35.0,NV ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Passing,18.0,Passenger Car, , , , ,Y, , , ,Yes,No,Not Applicable,ADS,Yes,Hyundai,2021.0,3474.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),17:00,Daylight,Parking Lot,15.0,WY ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Backing,7.0,Passenger Car, , , , , ,Y, , ,No Passengers in Vehicle,No,No,ADS,Yes,Local Motors,2019.0,0.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),18:08,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , , ,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,17214.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),13:14,Daylight,Street,30.0,TX ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Parked,11.0,Passenger Car, , , ,Y, , , , ,Yes,No,No,ADS,Yes,Ford,2020.0,1912.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),15:10,Daylight,Intersection,25.0,CA , , , ,Y, , ,Dry,No Unusual Conditions,Making Left Turn,Proceeding Straight,3.5,Van, , , , , , , ,Y,Yes,No,No,ADS,Yes,Chrysler,2017.0,34996.0,No,Yes,No Injuries Reported
Consumer,2:46,Dark - Lighted,Street,30.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Making Right Turn,Unknown,20.0,Other Fixed Object, , , , ,Y, , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2021.0,1946.0,Unknown,Unknown,Minor
In-Vehicle and Remote (Commercial / Test),7:44,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Cruise,2020.0,30000.0,No,No,Minor
Consumer,Unknown,Unknown,Unknown,25.0,PA , , , , , , ,Unknown,Unknown,Unknown,Changing Lanes,3.5,Unknown, , , , , , , , ,Unknown,Unknown,No,"Unknown, see Narrative",No,Acura,2020.0,18698.0,Unknown,Yes,Moderate
In-Vehicle (Commercial / Test),4:03,Dark - Not Lighted,Highway / Freeway,75.0,TX ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,"Other, see Narrative",35.0,"Other, see Narrative", , , , , , , ,Y,Yes,Not Applicable,No,ADS,Yes,Peterbilt,2022.0,139488.0,Not Applicable,No,No Injuries Reported
In-Vehicle and Remote (Commercial / Test),7:44,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Cruise,2020.0,30000.0,No,No,Minor
In-Vehicle (Commercial / Test),12:50,Daylight,Parking Lot,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,"Other, see Narrative",9.0,"Other, see Narrative", , , , , , , , ,Yes,Not Applicable,No,ADS,Yes,Jaguar,2021.0,26479.0,Not Applicable,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),9:42,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,38190.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),18:06,Dark - Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Toyota,2016.0,76298.0,No,No,No Injuries Reported
Remote (Commercial / Test),23:35,Dark - Lighted,Intersection,25.0,CA ,Y, , , , , ,Dry,"Other, see Narrative",Proceeding Straight,Proceeding Straight,10.0,"Other, see Narrative", , , , , , , , ,No Passengers in Vehicle,Not Applicable,No,ADS,Yes,Cruise,2023.0,965.0,No,No,No Injuries Reported
Consumer,17:12,Daylight,Highway / Freeway,65.0,TX ,Y, , , , , ,Dry,No Unusual Conditions,Lane / Road Departure,Proceeding Straight,29.0,Passenger Car, , ,Y, ,Y, , , ,Unknown,No,No,"Unknown, see Narrative",No,Tesla,2019.0,29657.0,Unknown,Yes,Minor
Consumer,Unknown,Unknown,Highway / Freeway,25.0,MI , ,Y, , , , ,Wet,"Other, see Narrative",Proceeding Straight,Unknown,65.0,Unknown,Y, , , , , , , ,Unknown,Unknown,Yes,ADAS,No,Honda,2020.0,18698.0,Unknown,Yes,No Injuries Reported
Consumer,Unknown,Unknown,Street,25.0,NY , , , , , , ,Unknown,Unknown,Changing Lanes,Proceeding Straight,3.5,Passenger Car, ,Y, , , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Honda,2021.0,18698.0,Unknown,Yes,Moderate
In-Vehicle (Commercial / Test),15:11,Daylight,Highway / Freeway,65.0,TX ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Changing Lanes,62.0,Heavy Truck, , , , ,Y, , , ,Yes,No,No,ADS,Yes,Peterbilt,2022.0,58117.0,No,Yes,Moderate
Remote (Commercial / Test),21:49,Dark - Lighted,Street,25.0,CA , ,Y, , , , ,Wet,"Other, see Narrative",Proceeding Straight,"Other, see Narrative",10.0,"Other, see Narrative", , ,Y, , , , , ,No Passengers in Vehicle,Not Applicable,No,ADS,Yes,Cruise,2023.0,1111.0,Not Applicable,No,No Injuries Reported
Consumer,12:33,Dawn / Dusk,Intersection,25.0,FL , , , ,Y, , ,Dry,No Unusual Conditions,Proceeding Straight,Stopped,35.0,Heavy Truck,Y, , ,Y, ,Y, ,Y,Yes,No,Yes,ADAS,No,Ford,2020.0,18698.0,No,Yes,Moderate
In-Vehicle (Commercial / Test),12:35,Daylight,Intersection,30.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,20087.0,No,No,No Injuries Reported
Remote (Commercial / Test),0:29,Dark - Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Merging,Proceeding Straight,24.0,Van, , ,Y, , , , , ,No Passengers in Vehicle,No,No,ADS,Yes,Cruise,2023.0,1129.0,No,No,No Injuries Reported
In-Vehicle and Remote (Commercial / Test),4:37,Dark - Lighted,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , , ,Y,Yes,No,No,ADS,Yes,Cruise,2020.0,32821.0,No,No,Minor
Consumer,Unknown,Unknown,Intersection,25.0,TX , , , , , , ,Unknown,Unknown,Unknown,"Other, see Narrative",3.5,Unknown, , ,Y, , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Honda,2021.0,18698.0,Unknown,Yes,Minor
In-Vehicle (Commercial / Test),12:22,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Backing,0.0,Passenger Car, , , , , , , ,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,5356.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),10:15,Daylight,Highway / Freeway,60.0,TX , , , ,Y, , ,Dry,Work Zone,Proceeding Straight,Lane / Road Departure,56.0,SUV, , , , , , ,Y, ,Yes,Unknown,No,ADS,Yes,Kenworth Motor Truck Co,2023.0,40405.0,Yes,No,No Injuries Reported
In-Vehicle (Commercial / Test),14:48,Daylight,Street,30.0,FL , ,Y, , , , ,Wet,No Unusual Conditions,Making Right Turn,Making Right Turn,1.0,Passenger Car, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Ford,2020.0,2034.0,No,No,No Injuries Reported
